# Graph from stone, page 1
0.004909 0.07086	0.00000	0.00000
0.01472	0.07317	0.00000	0.00000
0.02454	0.07776	0.00000	0.00000
0.03764	0.08922	0.00000	0.00000
0.05073	0.1029	0.00000	0.00000
0.06873	0.1212	0.00000	0.00000
0.08837	0.1419	0.00000	0.00000
0.1129	0.1625	0.00000	0.00000
0.1374	0.1740	0.00000	0.00000
0.1522	0.1786	0.00000	0.00000
0.1685	0.1832	0.00000	0.00000
0.1865	0.1832	0.00000	0.00000
0.2029	0.1833	0.00000	0.00000
0.2225	0.1833	0.00000	0.00000
0.2356	0.1833	0.00000	0.00000
0.2454	0.1674	0.00000	0.6177
0.2520	0.1628	0.00000	0.00000
0.2651	0.1743	0.00000	0.00000
0.2782	0.1834	0.00000	0.00000
0.2864	0.1926	0.00000	0.00000
0.2995	0.2086	0.00000	0.00000
0.3109	0.2269	0.00000	0.00000
0.3240	0.2498	0.00000	0.00000
0.3273	0.2590	0.00000	0.00000
0.3355	0.2179	0.00000	0.00000
0.3371	0.1516	0.00000	0.00000
0.3371	0.1790	0.00000	0.00000
0.3436	0.1424	0.00000	0.00000
0.3584	0.1402	0.00000	0.00000
0.3682	0.1448	0.00000	0.00000
0.3829	0.1494	0.00000	0.00000
0.3927	0.1586	0.00000	0.00000
0.3993	0.1654	0.00000	0.00000
0.4042	0.1792	0.00000	0.00000
0.4058	0.1929	0.00000	0.00000
0.4058	0.2180	0.00000	0.00000
0.4075	0.2386	0.00000	0.00000
0.4091	0.2637	0.00000	0.00000
0.4091	0.2912	0.00000	0.00000
0.4108	0.3277	0.00000	0.00000
0.4108	0.3163	0.00000	0.00000
0.4157	0.3392	0.00000	0.00000
0.4189	0.3529	0.00000	0.00000
0.4222	0.3689	0.00000	0.00000
0.4222	0.3803	0.00000	0.00000
0.4304	0.3735	0.00000	0.00000
0.4369	0.3689	0.00000	0.00000
0.4435	0.3644	0.00000	0.00000
0.4468	0.3644	0.00000	0.00000
0.4533	0.3667	0.00000	0.00000
0.4615	0.3781	0.00000	0.00000
0.4664	0.3873	0.00000	0.00000
0.4697	0.3942	0.00000	0.00000
0.4779	0.3988	0.00000	0.00000
0.4893	0.3942	0.00000	0.00000
0.4991	0.3851	0.00000	0.00000
0.5057	0.3851	0.00000	0.00000
0.5139	0.3828	0.00000	0.00000
0.5220	0.3737	0.00000	0.00000
0.5417	0.3669	0.00000	0.00000
0.5564	0.3601	0.00000	0.00000
0.5761	0.3418	0.00000	0.00000
0.5859	0.3236	0.00000	0.00000
0.5957	0.2962	0.00000	0.00000
0.5973	0.2642	0.00000	0.00000
0.5990	0.2299	0.00000	0.00000
0.6039	0.1933	0.00000	0.00000
0.6072	0.1728	0.00000	0.00000
0.6186	0.1614	0.00000	0.00000
0.6301	0.1454	0.00000	0.00000
0.6415	0.1340	0.00000	0.00000
0.6530	0.1432	0.00000	0.00000
0.6612	0.1569	0.00000	0.00000
0.6661	0.1683	0.00000	0.00000
0.6743	0.1523	0.00000	0.00000
0.6759	0.1363	0.00000	0.00000
0.6775	0.1089	0.00000	0.00000
0.6792	0.08840	0.00000	0.00000
0.6824	0.08384	0.00000	0.00000
0.6955	0.08844	0.00000	0.00000
0.7086	0.09304	0.00000	0.00000
0.7266	0.09994	0.00000	0.00000
0.7495	0.1114	0.00000	0.00000
0.7757	0.1160	0.00000	0.00000
0.7970	0.1183	0.00000	0.00000
0.8134	0.1161	0.00000	0.00000
0.8330	0.1001	0.00000	0.00000
0.8477	0.08879	0.00000	0.00000
0.8674	0.08197	0.00000	0.00000
0.8805	0.08658	0.00000	0.00000
0.8919	0.1003	0.00000	0.00000
0.9001	0.1071	0.00000	0.00000
0.9099	0.08207	0.00000	0.00000
0.9165	0.06151	0.00000	0.00000
0.9263	0.05468	0.00000	0.00000
0.9410	0.05243	0.00000	0.00000
0.9558	0.05703	0.00000	0.00000
0.9738	0.06393	0.00000	0.00000
0.9901	0.06625	0.00000	0.00000
0.9983	0.06627	0.00000	0.00000
